env_steps,mean_reward,std_reward
33030144,19.71766565322876,1.0434841724828543
33128448,19.721825675964354,1.1373456441068968
33226752,19.698481216430665,1.1845240335935625
33325056,19.687702293395997,1.1039110583784584
33423360,19.65889654159546,1.3305399796941177
33521664,19.81598482131958,1.3029657256386291
33619968,19.60689941883087,1.5247661673821535
33718272,19.805646953582762,1.085986645200503
33816576,19.447247047424316,1.220634963893586
33914880,19.75013801574707,1.1492325965657881
34013184,19.9404744720459,1.1722765596292968
34111488,19.901635074615477,0.9984426049717052
34209792,19.79934820175171,1.1685485021384663
34308096,19.46721129961312,2.7814888135703772
34406400,19.48591445684433,2.536315408412074
34504704,19.77749580383301,1.2449334414516269
34603008,19.772187111377715,2.3308702311766147
34701312,19.931515045166016,1.0400709267663335
34799616,19.788284242153168,2.346196444387876
34897920,19.997580261230468,1.0399766835259812
34996224,19.87693922042847,1.0142718748796544
35094528,20.019474735260008,1.1103408155412022
35192832,19.901397514343262,1.3210776641468358
35291136,19.87437105178833,0.9008903150338788
35389440,19.886042194366453,1.6351421158999222
35487744,19.426507806777956,2.6342109128818545
35586048,19.786618995666505,0.9595613580501777
35684352,19.802150325775145,1.110141331399861
35782656,19.92058099746704,1.109454821233824
35880960,19.865949459075928,1.055710346675436
35979264,19.796527774333953,2.025245845917239
36077568,19.87757338285446,1.9988502736732177
36175872,19.56757323026657,2.8735275940643272
36274176,19.82066563606262,1.6095869726307708
36372480,19.988513305187226,2.038730893721225
36470784,20.112882995605467,0.9362875391205063
36569088,20.005550322532653,2.0081632590750362
36667392,19.79808756351471,1.926919979722934
36765696,20.15317279815674,1.055270903526326
36864000,19.745993041992186,1.0191456990383285
36962304,20.161013031005858,1.114529898248648
37060608,20.205235137939454,1.0976018920502746
37158912,19.982553884983062,2.139592227723315
37257216,20.27920371055603,1.212142337199641
37355520,20.175861568450927,1.0595041865114239
37453824,20.019853496551512,1.0667828003834912
37552128,20.097210750579833,0.8625055010976775
37650432,20.146125049591063,1.0461439884836945
37748736,20.099329299926758,1.091497181681418
37847040,20.056126232147218,1.0481017516849502
37945344,19.967465801239015,1.3736995299683636
38043648,20.290526123046874,1.0699500341599026
38141952,20.18032663345337,1.0044784221595564
38240256,20.363198471069335,1.3981768256460907
38338560,20.20299909591675,0.9038050740303692
38436864,20.359540309906006,0.8850658850518313
38535168,20.314788227081298,1.0245754740756543
38633472,20.226776180267333,1.9327930124661392
38731776,20.275050082206725,1.9717752428438708
38830080,20.320192527770995,1.0947318850609726
38928384,20.376408195495607,0.9578072992855637
